txl1_x,txl1_y,txl1_z,txl2_x,txl2_y,txl2_z,txl3_x,txl3_y,txl3_z,txl4_x,txl4_y,txl4_z,txl5_x,txl5_y,txl5_z,txl6_x,txl6_y,txl6_z,txl7_x,txl7_y,txl7_z,txl8_x,txl8_y,txl8_z,txl9_x,txl9_y,txl9_z,txl10_x,txl10_y,txl10_z,txl11_x,txl11_y,txl11_z,txl12_x,txl12_y,txl12_z,txl13_x,txl13_y,txl13_z,txl14_x,txl14_y,txl14_z,txl15_x,txl15_y,txl15_z,txl16_x,txl16_y,txl16_z
16211.0,16534.0,38610.0,16188.0,16608.0,38278.0,15968.0,16552.0,38049.0,15530.0,16682.0,39103.0,16106.0,16505.0,38174.0,16049.0,16355.0,37576.0,15924.0,16380.0,37508.0,15687.0,16482.0,37777.0,16286.0,16276.0,37833.0,16099.0,16303.0,37858.0,15853.0,16293.0,37280.0,15721.0,16272.0,37926.0,16232.0,16198.0,38593.0,16020.0,16312.0,38058.0,15890.0,16188.0,37745.0,15717.0,16379.0,38567.0
16212.0,16534.0,38623.0,16190.0,16608.0,38290.0,15971.0,16553.0,38053.0,15530.0,16684.0,39110.0,16109.0,16504.0,38174.0,16049.0,16355.0,37586.0,15924.0,16380.0,37508.0,15687.0,16482.0,37777.0,16289.0,16275.0,37842.0,16103.0,16304.0,37858.0,15852.0,16296.0,37281.0,15721.0,16272.0,37926.0,16232.0,16197.0,38603.0,16019.0,16311.0,38056.0,15890.0,16188.0,37745.0,15717.0,16379.0,38567.0
16215.0,16533.0,38634.0,16195.0,16609.0,38300.0,15974.0,16552.0,38058.0,15536.0,16685.0,39109.0,16114.0,16503.0,38189.0,16055.0,16355.0,37594.0,15929.0,16382.0,37517.0,15692.0,16484.0,37771.0,16290.0,16274.0,37849.0,16106.0,16303.0,37861.0,15856.0,16294.0,37284.0,15727.0,16274.0,37920.0,16234.0,16196.0,38607.0,16023.0,16312.0,38060.0,15894.0,16190.0,37738.0,15719.0,16381.0,38560.0
16218.0,16530.0,38636.0,16198.0,16607.0,38289.0,15975.0,16554.0,38061.0,15536.0,16685.0,39109.0,16114.0,16503.0,38189.0,16055.0,16355.0,37594.0,15929.0,16382.0,37517.0,15695.0,16483.0,37771.0,16291.0,16272.0,37850.0,16106.0,16301.0,37865.0,15855.0,16296.0,37281.0,15727.0,16274.0,37920.0,16234.0,16196.0,38607.0,16023.0,16312.0,38060.0,15894.0,16190.0,37738.0,15720.0,16379.0,38558.0
16219.0,16531.0,38636.0,16197.0,16607.0,38296.0,15974.0,16554.0,38067.0,15538.0,16687.0,39113.0,16114.0,16501.0,38194.0,16054.0,16354.0,37587.0,15930.0,16384.0,37524.0,15692.0,16486.0,37777.0,16290.0,16272.0,37849.0,16103.0,16304.0,37860.0,15855.0,16297.0,37281.0,15724.0,16276.0,37920.0,16230.0,16196.0,38610.0,16020.0,16309.0,38057.0,15894.0,16190.0,37734.0,15717.0,16381.0,38546.0
16219.0,16528.0,38631.0,16198.0,16604.0,38295.0,15977.0,16553.0,38057.0,15537.0,16686.0,39113.0,16113.0,16501.0,38198.0,16057.0,16354.0,37586.0,15930.0,16383.0,37522.0,15693.0,16487.0,37775.0,16286.0,16270.0,37849.0,16103.0,16299.0,37863.0,15855.0,16295.0,37284.0,15725.0,16276.0,37918.0,16232.0,16195.0,38608.0,16020.0,16310.0,38056.0,15894.0,16190.0,37734.0,15717.0,16381.0,38557.0
16219.0,16527.0,38629.0,16198.0,16606.0,38287.0,15977.0,16553.0,38050.0,15538.0,16687.0,39103.0,16113.0,16499.0,38189.0,16054.0,16352.0,37584.0,15929.0,16384.0,37519.0,15692.0,16486.0,37770.0,16288.0,16269.0,37841.0,16102.0,16300.0,37856.0,15854.0,16296.0,37279.0,15724.0,16275.0,37923.0,16230.0,16194.0,38613.0,16019.0,16310.0,38055.0,15891.0,16190.0,37733.0,15717.0,16379.0,38557.0
16217.0,16531.0,38632.0,16195.0,16606.0,38289.0,15974.0,16553.0,38071.0,15535.0,16688.0,39120.0,16111.0,16498.0,38187.0,16054.0,16352.0,37584.0,15929.0,16384.0,37519.0,15688.0,16487.0,37782.0,16286.0,16271.0,37838.0,16101.0,16302.0,37851.0,15852.0,16296.0,37282.0,15721.0,16278.0,37919.0,16229.0,16193.0,38604.0,16019.0,16310.0,38055.0,15891.0,16190.0,37733.0,15717.0,16379.0,38557.0
16214.0,16528.0,38619.0,16192.0,16605.0,38285.0,15970.0,16552.0,38059.0,15532.0,16686.0,39113.0,16110.0,16498.0,38177.0,16050.0,16354.0,37579.0,15924.0,16381.0,37514.0,15689.0,16484.0,37774.0,16284.0,16272.0,37834.0,16098.0,16301.0,37854.0,15850.0,16295.0,37282.0,15718.0,16275.0,37921.0,16227.0,16193.0,38603.0,16016.0,16311.0,38048.0,15890.0,16191.0,37735.0,15714.0,16377.0,38561.0
16214.0,16528.0,38619.0,16192.0,16605.0,38285.0,15970.0,16552.0,38059.0,15532.0,16686.0,39113.0,16110.0,16498.0,38177.0,16050.0,16354.0,37579.0,15924.0,16381.0,37514.0,15689.0,16484.0,37774.0,16284.0,16272.0,37834.0,16098.0,16301.0,37854.0,15850.0,16295.0,37282.0,15718.0,16275.0,37921.0,16227.0,16193.0,38603.0,16016.0,16311.0,38048.0,15890.0,16191.0,37735.0,15714.0,16377.0,38561.0
